Country,Name Star,Citation Name Star,Name Exoplanet,Citation Name Exoplanet,Theme,Star catalog ID,Exoplanet catalog ID,Constelation,Star colour,Star type,Link to SIMBAD
Albania,Illyrian,"Historians largely believe that the Albanians are descendants of the Illyrians, a term Albanians proudly call themselves.",Arber,Arber is the term for the inhabitants of Albania during the middle ages.,Names of ancient places and peoples associated with the history of Albania.,HD 82886,HD 82886 b,Leo Minor,yellow,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+82886
Algeria,Hoggar,Hoggar is the name of the main mountain range in the Sahara Desert in southern Algeria.,Tassili,Tassili is a UNESCO World Heritage Site situated in the Sahara Desert and is renowned for its prehistoric cave art and scenic geological formations.,Names associated with marvels of the Sahara Desert in Algeria,HD 28678,HD 28678 b,Taurus,yellow,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+28678
Andorra,Arcalís,"Arcalis is a famous peak in the north of Andorra, where the Sun passes through a hole in the mountain twice a year at fixed dates. It was used as a primitive solar calendar and reference point for shepherds and early inhabitants of Andorra.",Madriu,"Madriu (Mare del riu in Catalan, Mother of the River in English) is the name of a glacial valley and of the river that runs through it in the southeast of Andorra. It is the main part of the Madriu-Perafita-Claror UNESCO World Heritage Site.",Names associated with prominent peaks and valleys of Andorra.,HD 131496,HD 131496 b,Bootes,orange,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+131496
Argentina,Nosaxa,"Nosaxa means spring in the Moqoit language. The word comes from a combination of nosahuec, which means renew, and ñaaxa, which means year.",Naqaỹa,"Naqaỹa means brother-family-relative in the Moqoit language and leads us to call all humans, indigenous or non-indigenous, brother.","Terms associated with the relationship between sky, life cycles, and the human community as family, as provided by a teacher and leader of the Moqoit Indigenous People of northern Argentina.",HD 48265,HD 48265 b,Puppis,yellow-white,subgiant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+48265
Aruba,Malmok,Malmok is an indigenous name given to a beach in Aruba with a narrow sandy stretch that interrupts the limestone and rocky terrace along the coast. Its shallow clear Caribbean waters make it a popular snorkelling spot.,Bocaprins,Boca Prins is a secluded beach with white dunes and iconic scenery situated in Arikok National Park along the northeast coast of Aruba. It is named after Plantation Prins where coconuts were cultivated in the past.,Names associated with notable beaches of Aruba.,WASP-39,WASP-39 b,Virgo,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-39
Australia,Bubup,Bubup is the Boonwurrung word for child.,Yanyan,YanYan is the Boonwurrung word for boy.,"Names for family members in the Boonwurrung language used by children in the Kulin Nation in Victoria, Australia.",HD 38283,HD 38283 b,Mensa,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+38283
Austria,Franz,"Franz is a character in the movie ""Sissi"" embodying an emperor of Austria in the XIXth century. The role is played by the actor Karlheinz Böhm.",Sissi,"Sissi is a character in the movie ""Sissi"", who is married with Franz. The role is played by the actress Romy Schneider.","Names associated with characters in the 1955 Austrian film ""Sissi"" directed by Ernst Marischka and describing a love story between a princess and an emperor in the XIXth century.",HAT-P-14,HAT-P-14 b,Hercules,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HAT-P-14
Azerbaijan,Mahsati,Mahsati Ganjavi (1089–1159) is one of the brightest shining stars of Azerbaijani poetry. She was said to have associated with both Omar Khayyam and Nizami and was well educated and talented and played numerous musical instruments.,Ganja,"Ganja is an ancient city of Azerbaijan, and is the birth place of many prominent people such as the poets Mahsati and Nizami. It is the ancient capital of Azerbaijan, the first capital of the Azerbaijan Democratic Republic and the city with the spirit of wisdom and freedom.",Names associated with the works and life of 12th century eminent Azerbaijani poetess Mahsati Ganjavi (1089–1159) of Ganja.,HD 152581,HD 152581 b,Ophiuchus,orange,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+152581
Bangladesh,Timir,"Timir means darkness in Bengali language, alluding to the star being far away in the darkness of space.",Tondra,"Tondra means nap in Bengali language, alluding to the symbolic notion that the planet was asleep until discovered.","Terms associated with the dark night sky, space, and sleep in the Bengali language.",HD 148427,HD 148427 b,Ophiuchus,orange,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+148427
Belgium,Nervia,"Nervia, adapted from Nervii, was a prominent Belgian Celtic tribe.",Eburonia,"Eburonia, adapted from Eburones, was a prominent Belgian Celtic tribe.",Names of places and peoples associated with the ancient Belgae tribes in the vicinity of modern-day Belgium.,HD 49674,HD 49674 b,Auriga,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+49674
Bhutan,Gakyid,"Gakyid means happiness. Gross National Happiness is the development
philosophy conceived and followed in Bhutan and is one of Bhutan's
contributions to the world.",Drukyul,"Drukyul (land of the thunder dragon) is the native name for Bhutan, the country that came up with the philosophy of Gross National Happiness.","Terms in Dzongkha language associated with happiness and symbols of the national identity of Bhutan, birthplace of the Gross National Happiness development philosophy.",HD 73534,HD 73534 b,Cancer,yellow,subgiant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+73534
Bolivia,Tapecue,Tapecue means eternal path in Guarani and represents the Milky Way through which the first inhabitants of the Earth arrived and could return.,Yvaga,Yvaga means paradise for the Guarani and the Milky Way was known as the road to Yvaga or paradise.,Terms associated with Guarani cosmovision.,HD 63765,HD 63765 b,Carina,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+63765
Bosnia and Herzegovina,Bosona,"Bosona is the name given to the territory of Bosnia in the 10th century. Later, the name was transformed to Bosnia originating from the name of the Bosna river.",Naron,Naron is one of the names given to the Neretva river in Herzegovina (and partly in Croatia) in antiquity orginating with the Celts who called it Nera Etwa which means the Flowing Divinity.,Ancient names associated with the Bosna and Neretva rivers and tributaries of Bosnia and Herzegovina.,HD 206610,HD 206610 b,Aquarius,orange,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+206610
Brazil,Tupi,"Tupi is the name of the most populous Indigenous People living on the eastern coast of South America, before the Portuguese arrived in the 16th century.",Guarani,"Guarani is the name of the most populous Indigenous people living in South Brazil and parts of Argentina, Paraguay and Uruguay.",Names of Indigenous Peoples of Brazil.,HD 23079,HD 23079 b,Reticulum,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+23079
Brunei,Gumala,"Gumala is a Malay word, which means a magic bezoar stone found in snakes, dragons, etc.",Mastika,"Mastika is a Malay word, which means a gem, precious stone, jewel or the prettiest, the most beautiful.",Terms associated with precious gems and stones in Malay language.,HD 179949,HD 179949 b,Sagittarius,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+179949
Bulgaria,Tangra,Tangra is the supreme celestial god that early Bulgars worshiped.,Bendida,Bendida is the Great Mother Goddess of the Thracians. She was especially revered as a goddess of marriage and living nature.,Names of deities from Thracian and early Bulgar mythology.,WASP-21,WASP-21 b,Pegasus,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-21
Burkina Faso,Mouhoun,"Mouhoun, also called Volta Noire, is the largest river in Burkina Faso and plays an important role in the lives of the people in the areas it passes through.",Nakanbé,"The Nakanbé, also called Volta Blanche, is the second largest river in Burkina Faso. Its source is in the heart of the Sahara Burkinabe and ends in Ghana.",Names associated with the prominent rivers of Burkina Faso in local languages.,HD 30856,HD 30856 b,Eridanus,orange,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+30856
Canada,Nikawiy,Nikawiy is the word for mother in the Indigenous Cree language of Canada.,Awasis,Awasis is the word for child in the Indigenous Cree language of Canada.,Names of family members in the indigenous Cree language of Canada.,HD 136418,HD 136418 b,Bootes,yellow,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+136418
Chile,Pincoya,Pincoya is a female water spirit from southern Chilean mythology who is said to bring drowned sailors to the Caleuche so that they can live in the afterlife.,Caleuche,Caleuche is a large ghost ship from southern Chilean mythology which sails the seas around the island of Chiloé at night.,Names from mythology of southern Chile associated with the seas.,HD 164604,HD 164604 b,Sagittarius,orange,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+164604
China Nanjing,Xihe,Xihe (羲和) is the goddess of the sun in the Chinese mythology and also represents the earliest astronomers and developers of calendars in ancient China.,Wangshu,Wangshu (望舒) is the goddess who drives for the Moon and also represents the Moon in Chinese mythology.,Names of celestial deities from ancient Chinese mythology.,HD 173416,HD 173416 b,Lyra,orange,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+173416
China Taipei,Formosa,"Formosa is the historical name of Taiwan used in the 17th century, meaning beautiful in Latin.",Sazum,"Sazum is the traditional name of Yuchi, a Township in Nantou county, in which the famous Sun-Moon Lake lies. Sazum means water in the language of the Thao people who are a tribe of Taiwanese aborigines who lived in the region for hundreds of years.",Historical and indigenous names for the island of Taiwan and prominent geographic features.,HD 100655,HD 100655 b,Leo,yellow,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+100655
Colombia,Macondo,Macondo is the mythical village of the novel One Hundred Years of Solitude (Cien años de soledad) the classic novel by Gabriel García Marquez. Macondo is a fictional place where magic and reality are mixed.,Melquíades,"Melquíades is a fictional character that walks around Macondo, like a planet orbiting a star, connecting it with the external world by introducing new knowledge using his inventions as well as his stories.","Fictional names and places from the novel Cien años de Soledad (One Hundred Years of Solitude) by Colombian author Gabriel García Márquez, who was awarded the 1982 Nobel Prize in Literature.",HD 93083,HD 93083 b,Antlia,orange,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+93083
Cook Islands,Poerava,Poerava is the word in the Cook Islands Maori language for a large mystical black pearl of utter beauty and perfection.,Pipitea,"Pipitea is a small, white and gold pearl found in Penrhyn lagoon in the northern group of the Cook Islands.",Terms associated with pearls in the Cook Islands Māori language.,HD 221287,HD 221287 b,Tucana,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+221287
Costa Rica,Dìwö,Dìwö in Bribri language means the sun (bigger than the sun we know) and that never turns off.,Ditsö̀,Ditsö̀ is the name that the god Sibö̀ gave to the first Bribri people.,Terms associated with celestial bodies and the origins of the people in Indigenous Bribri language of Costa Rica.,WASP-17,WASP-17 b,Scorpius,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-17
Croatia,Stribor,"Stribor is God of winds in Slavic mythology, as well as a literature character in the book Priče iz davnine (Croatian Tales of Long Ago) by the Croatian author Ivana Brlić-Mažuranić.",Veles,"Veles is a major Slavic god of earth, waters and the underworld.",Slavic deities of the Earth and underworld.,HD 75898,HD 75898 b,Lynx,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+75898
Cuba,Felixvarela,"Felix Varela (1788–1853) was the first to teach science in Cuba at the San Carlos and San Ambrosio Seminary. He opened the way to education for all, and began the experimental teaching of physics in Cuba.",Finlay,"Carlos Juan Finlay (1833–1915) was an epidemiologist recognized as a pioneer in the research of yellow fever, determining that it was transmitted through mosquitoes.",Names associated with influential 19th century Cuban thinkers.,BD-17 63,BD-17 63 b,Cetus,orange,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=BD-17+63
Cyprus,Alasia,"Alasia is the first historically recorded name of Cyprus, dating back to mid-fifteenth century BC.",Onasilos,"Onasilos is the oldest historically recorded doctor in Cyprus, inscribed on the fifth century BC Idalion Tablet. Also known as the Onasilou Plate, it is considered as the oldest legal contract found in the world.",Names associated with doctors from the ancient history of Cyprus (Alasia/Alashiya).,HD 168746,HD 168746 b,Serpens,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+168746
Czech Republic,Absolutno,Absolutno is a fictional miraculous substance in the sci-fi novel Továrna na absolutno (The Factory for the Absolute) by influential Czech writer Karel Čapek.,Makropulos,"Makropulos is the name from Karel Čapek's play Věc Makropulos (The Makropulos Affair), dealing with problems of immortality and consequences of an artificial prolongation of life.",Names from the play Věc Makropulos (The Makropulos Affair) and the science fiction novel Továrna na absolutno (The Absolute at Large) by Czech author Karel Čapek (1890–1938).,XO-5,XO-5 b,Lynx,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=XO-5
Denmark,Muspelheim,"Muspelheim is the Norse mythological realm of fire. The first gods used the sparks of Muspelheim to form the sun, moon, planets, and stars.",Surt,"Surt is the ruler of Muspelheim and the fire giants there in Norse mythology. At Ragnarok, the end of the world, he will lead the attack on our world and destroy it in flames.",Names of characters and places associated with the mythological fire realm of Muspelheim from Norse mythology.,HAT-P-29,HAT-P-29 b,Perseus,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HAT-P-29
Dominican Republic,Márohu,"Márohu the god of drought is the protector of the Sun and is engraved at a higher position on the stalagmite than Boinayel in the El Puente cave, where the Sun makes its way down every 21 December.",Boinayel,Boinayel the god of rain that fertilizes the soil is engraved on the stalagmite at a lower position than Márohu in the El Puente cave.,Names of deities from the mythology of the Taíno indigenous people of the Caribbean.,WASP-6,WASP-6 b,Aquarius,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-6
Ecuador,Nenque,Nenque means the Sun in the language spoken by the Indigenous Waorani tribes of the Amazon regions of Ecuador,Eyeke,Eyeke means near in the language spoken by the Indigenous Waorani tribes of the Amazon regions of Ecuador. This word is suggested for the exoplanet owing to the proximity of the planet to the host star.,"Terms symbolic of the Sun, stars, and planets, and their conditions in the language spoken by the Indigenous Waorani tribes of the Amazon regions of Ecuador",HD 6434,HD 6434 b,Phoenix,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+6434
El Salvador,Citalá,Citalá means River of stars in the native Nahuat language.,Cayahuanca,Cayahuanca means The rock looking at the stars in the native Nahuat language.,Celestial terms and geographic features in El Salvador from the indigenous Nahuat language.,HD 52265,HD 52265 b,Monoceros,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+52265
Estonia,Koit,Koit is Estonian for the time when the Sun rises in the morning (dawn).,Hämarik,Hämarik is Estonian for the time when the Sun goes down in the evening (dusk).,Celestial terms in the Estonian language.,XO-4,XO-4 b,Lynx,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=XO-4
Ethiopia,Buna,Buna is the commonly used word for coffee in Ethiopia.,Abol,Abol is the first of three rounds of coffee in the Ethiopian traditional coffee ceremony.,Words associated with coffee and the Ethiopian traditional coffee ceremony.,HD 16175,HD 16175 b,Andromeda,yellow,subgiant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+16175
Finland,Horna,Horna is hell or the underworld from Finnic mythology.,Hiisi,Hiisi represents sacred localities and later evil spirits from Finnic mythology.,"Terms associated with mystical, sacred, or evil places in ancient Finnish/Finnic mythology.",HAT-P-38,HAT-P-38 b,Triangulum,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HAT-P-38
France,Bélénos,"Bélénos was the god of light, of the Sun, and of health in Gaulish mythology.",Bélisama,"Bélisama was the goddess of fire, notably of the hearth and of metallurgy and glasswork, in Gaulish mythology.","Names of Gaulish deities associated with the Sun, light, and fire (French spellings).",HD 8574,HD 8574 b,Pisces,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+8574
Gabon,Itonda,"Itonda, in the Myene tongue, corresponds to all that is beautiful.",Mintome,"Mintome, in the Fang tongue, is a mythical land where a brotherhood of brave men live.",Terms and places associated with beauty and unity vernacular languages of Gabon.,HD 208487,HD 208487 b,Grus,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+208487
Germany,Mago,Mago is a National Park in Ethiopia noted for its giraffes. The star also happens to be in the constellation of Camelopardis (the giraffe).,Neri,The Neri river in Ethiopia runs through parts of the Mago National park.,"Names associated with geographic features of Mago National Park in Ethiopia, noted range of the Nubian giraffe (Giraffa camelopardalis camelopardalis).",HD 32518,HD 32518 b,Camelopardalis,orange,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+32518
Ghana,Sika,Sika means gold in the Ewe language and gold is one of Ghana's principal exports.,Toge,Toge means earring in the Ewe language.,"Terms associated with artefacts and jewelry containing gold in the Ewe language spoken in Ghana (formerly known as ""Gold Coast"" prior to independence).",HD 181720,HD 181720 b,Sagittarius,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+181720
Greece,Lerna,"Lerna was the name of a lake in the eastern Peloponnese, where the Lernaean Hydra, an immortal mythical nine-headed beast lived. The star lies in the constellation of Hydra.",Iolaus,"Iolaus was the nephew of Heracles from Greek mythology, moving around lake Lerna in helping Heracles to exterminate the Lernaean Hydra. Similarly this exoplanet in the constellation of Hydra moves around its parent star.",Names of characters and places associated with the story of the Lernaean Hydra of Greek mythology.,HAT-P-42,HAT-P-42 b,Hydra,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HAT-P-42
Guatemala,Tojil,"Tojil is the name of one of the Mayan deities related to rain, storms, and fire.",Koyopa',Koyopa' is the word associated with lightning in K'iche' (Quiché) Mayan language.,Names of deities and terms associated with storms from the Indigenous K'iche' (Quiché) Mayan tradition.,WASP-22,WASP-22 b,Eridanus,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-22
Haiti,Citadelle,"The Citadelle is a large mountaintop fortress in Nord, Haiti built after Haiti's independence, and was designated a UNESCO World Heritage site along with the nearby Sans-Souci Palace.",Indépendance,"Indépendance is named after the Haitian Declaration of Independence on 1 January 1804, when Haiti became the first independent black republic.",Terms associated with the Citadelle Laferrière UNESCO World Heritage Site and early history of the Republic of Haiti.,HD 1502,HD 1502 b,Pisces,orange,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+1502
Honduras,Hunahpú,Hunahpú was one of the twin gods who became the Sun in K'iche' (Quiché) Mayan mythology as recounted in the Popol Vuh.,Ixbalanqué,Ixbalanqué was one of the twin gods who became the Moon in K'iche' (Quiché) Mayan mythology as recounted in the Popol Vuh.,Names of characters and places associated with the legend of the hero twins Hunahpú and Ixbalanque from K'iche' (Quiché) Mayan mythology as recounted in the Popol Vuh.,HD 98219,HD 98219 b,Crater,orange,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+98219
"Hong Kong, China",Lionrock,Lion Rock is a lion-shaped peak overlooking Hong Kong and is a cultural symbol with deep respect from the local community.,Victoriapeak,Victoria Peak overlooks the bustling Victoria Harbour and is regarded as an ambassadorial gateway for foreign visitors wishing to experience Hong Kong first hand.,Names of iconic peaks of Hong Kong.,HD 212771,HD 212771 b,Aquarius,yellow,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+212771
Hungary,Hunor,"Hunor was a legendary ancestor of the Huns and the Hungarian nation, and brother of Magor.",Magor,"Magor was a legendary ancestor of the Magyar people and the Hungarian nation, and brother of Hunor.","Legendary characters and places from medieval Hungarian chronicles, including Gesta Hunnorum et Hungarorum written by Simon of Kéza in the 1280s.",HAT-P-2,HAT-P-2 b,Hercules,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HAT-P-2
Iceland,Funi,Funi is an old Icelandic word meaning fire or blaze.,Fold,Fold is an old Icelandic word meaning earth or soil.,"Terms for natural elements and forces in Icelandic language, symbolic of the star and its planets.",HD 109246,HD 109246 b,Draco,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+109246
India,Bibhā,"Bibhā [/bɪbɦa/] is the Bengali pronunciation of the Sanskrit word Vibha, which means a bright beam of light.",Santamasa,"Santamasa [/səntəməs/] in Sanskrit means clouded, which alludes to the exoplanet’s atmosphere.",Terms from Sanskrit language symbolic of the physical conditions of the star and its planets.,HD 86081,HD 86081 b,Sextans,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+86081
Indonesia,Dofida,Dofida means our star in Nias language.,Noifasui,"Noifasui means revolve around in Nias language, derived from the word ifasui, meaning to revolve around, and no, indicating that the action occurred in the past and continued to the present time.",Terms and phrases related to stars and planets and their physical conditions in the Nias language spoken on Nias Island and Batu islands in the north-western part of Indonesia.,HD 117618,HD 117618 b,Centaurus,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+117618
Iran,Kaveh,"Kaveh is one of the heroes of Shahnameh, the epic poem composed by Persian poet Ferdowsi between 977 and 1010 CE. Kaveh is a blacksmith who symbolises justice.",Kavian,"Kaveh carries a banner called Derafsh Kaviani (Derafsh: banner, Kaviani: relating to Kaveh).","Names of characters, symbols, and places associated with the legend of Kaveh the Blacksmith from the epic Shahnameh composed by Persian poet Ferdowsi between 977 and 1010 CE.",HD 175541,HD 175541 b,Serpens,yellow,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+175541
Iraq,Uruk,Uruk was an ancient city of the Sumer and Babylonian civilizations in Mesopotamia situated along an ancient channel of the Euphrates river in modern-day Iraq.,Babylonia,Babylonia was a key kingdom in ancient Mesopotamia from the 18th to 6th centuries BC whose name-giving capital city was built on the Euphrates river.,Names of ancient cities and kingdoms associated with Bronze Age Mesopotomia in Iraq.,HD 231701,HD 231701 b,Sagitta,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+231701
Ireland,Tuiren,"Tuiren was the aunt of the hunterwarrior Fionn mac Cumhaill of Irish legend, who was turned into a hound by the jealous fairy Uchtdealbh.",Bran,Tuiren's son Bran was a hound and cousin of the hunterwarrior Fionn mac Cumhaill of Irish legend.,"Mythological dogs and associated characters from the story The Birth of Bran, an Irish legend associated with the tales of Fionn mac Cumhaill, as retold in Irish Fairy Tales by author James Stephens (1920).",HAT-P-36,HAT-P-36 b,Canes Venatici,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HAT-P-36
Israel,Tevel,"Tevel means Universe or everything and begins with the letter Taf, the last letter in the Hebrew alphabet.",Alef,Alef is the first letter in the Hebrew alphabet and also means bull.,"Terms symbolically associated with the Universe, and its beginning, in the Hebrew language.",HAT-P-9,HAT-P-9 b,Auriga,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HAT-P-9
Italy,Flegetonte,"Flegetonte is the underworld river of fire from Greek Mythology in the Italian narrative poem on the afterlife ""Divina Commedia"" (Divine Commedy) by Dante Alighieri, chosen as an allusion to the star's fiery nature.",Lete,"Lete is the oblivion river made of fog from Greek Mythology in the Italian narrative poem on the afterlife ""Divina Commedia"" (Divine Commedy) by Dante Alighieri, chosen as an allusion to the planet's gaseous nature.",Rivers of the underworld from Greek Mythology in the very famous Italian allegorical (or epic) poem Divina Commedia (Divine Comedy) by Dante Alighieri (first edition 1321).,HD 102195,HD 102195 b,Virgo,orange,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+102195
Ivory Coast,Nyamien,Nyamien refers to the supreme creator deity of Akan mythology.,Asye,Asye refers to the Earth goddess of Akan mythology.,Principal deities of Akan mythology of Côte d'Ivoire (Ivory Coast).,WASP-15,WASP-15 b,Centaurus,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-15
Japan,Kamuy,Kamuy is a word in the Ainu language denoting a supernatural entity possessing spiritual energy.,Chura,Chura is a word in the Ryukyuan/Okinawan language meaning natural beauty.,Terms associated with the supernatural or natural beauty from the indigenous Ainu and Ryukyuan/Okinawan languages of Japan.,HD 145457,HD 145457 b,Corona Borealis,orange,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+145457
